unique_id,start_date,end_date,is_active
T7HC1EOB,1/1/2020,1/31/2020,1
JIXHGS72,1/1/2020,1/31/2020,1
YC8U0SWO,1/1/2020,1/31/2020,1
V7NB43E3,1/1/2020,1/31/2020,1
MFJMC8TW,1/1/2020,1/31/2020,1
EG172XQZ,1/1/2020,1/31/2020,1
GAI5CPA9,1/2/2020,2/1/2020,1
HOB42R2K,1/3/2020,2/2/2020,1
TH7PPR5P,1/3/2020,2/2/2020,1
BT0UWBJ8,1/3/2020,2/2/2020,1
WUJ9GTKM,1/4/2020,2/3/2020,1
58NWF1Z1,1/4/2020,2/3/2020,1
KKUDY14A,1/4/2020,2/3/2020,1
K2YPTUKL,1/4/2020,2/3/2020,1
49UCQT7P,1/5/2020,2/4/2020,1
3B25CC8S,1/5/2020,2/4/2020,1
RQVB07QJ,1/5/2020,2/4/2020,1
MD4Y0W9F,1/5/2020,2/4/2020,1
YVOW4C1R,1/5/2020,2/4/2020,1
3AOZ463L,1/6/2020,2/5/2020,1
49DTGL4S,1/7/2020,2/6/2020,1
JE7W3RL9,1/7/2020,2/6/2020,1
CRF3RT74,1/8/2020,2/7/2020,1
WJFVC8LD,1/8/2020,2/7/2020,1
Y03ND4H7,1/8/2020,2/7/2020,1
AA6Y1S42,1/8/2020,2/7/2020,1
QW12LICH,1/9/2020,2/8/2020,1
P2LWALF3,1/9/2020,2/8/2020,1
O94NGDDT,1/10/2020,2/9/2020,1
23J6UOQT,1/10/2020,2/9/2020,1
YKUJ17I6,1/10/2020,2/9/2020,1
KCJUALEI,1/11/2020,2/10/2020,1
EJE2KUTH,1/11/2020,2/10/2020,1
MRJN7YP0,1/11/2020,2/10/2020,1
3HEI1K42,1/11/2020,2/10/2020,1
2WUFAFNX,1/12/2020,2/11/2020,1
JDOTQAB5,1/12/2020,2/11/2020,1
QWPJDUK7,1/13/2020,2/12/2020,1
DFZBLHRF,1/13/2020,2/12/2020,1
DS35UC8N,1/13/2020,2/12/2020,1
N9FK02MW,1/13/2020,2/12/2020,1
UL7QM8KT,1/13/2020,2/12/2020,1
46O3ZPYW,1/15/2020,2/14/2020,1
KQJIGNUA,1/15/2020,2/14/2020,1
QGVPBBN4,1/15/2020,2/14/2020,1
CXR0WIZD,1/16/2020,2/15/2020,1
9S8AW01F,1/16/2020,2/15/2020,1
9WOZ1CLR,1/17/2020,2/16/2020,1
1G59EBL9,1/18/2020,2/17/2020,1
